taxonID	scientificName	old_page_id	new_page_id	status
a897e9d7-9317-37e1-bfa1-22c747adc464	Salvia hians Royle ex Benth.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.volume=3&rft.spage=373&rft_id=https://www.biodiversitylibrary.org/bibliography/598&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
decf347c-1c49-3cc7-b245-b5bdcfa499f0	Darwinia polychroma Keighery		62005730	ok
feed044c-0e2d-3a83-b1ca-0ebfba4e3b51	Olax antsiranensis Z.S.Rogers, Malécot & Sikes	33120228		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2006&rft.volume=28&rft.spage=75&rft_id=https://www.biodiversitylibrary.org/bibliography/600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
ee457f50-260d-31b0-b3f0-c7d89e354485	Callitriche peploides Nutt.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1835&rft.volume=5&rft.spage=141&rft_id=https://www.biodiversitylibrary.org/bibliography/41515&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
9618ace8-07a0-35e5-9d45-fccd99ebd34a	Impatiens burtonii Hook.fil.			skip:unparseable_collation:7(no. 28): 187
45a12efa-51fa-3d5f-ad48-a1aa70f7135b	Dombeya torrida (J.F.Gmel.) Bamps			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1962&rft.volume=32&rft.spage=170&rft_id=https://www.biodiversitylibrary.org/bibliography/145725&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
8f8160c3-a3d5-3aa1-8a3f-639fba036285	Rhabdophyllum calophyllum (Hook.fil.) Tiegh.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.volume=16&rft.spage=201&rft_id=https://www.biodiversitylibrary.org/bibliography/2178&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
46f54798-ff9d-3206-b746-b3fbc789f7b0	Darwinia speciosa (Meisn.) Benth.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1865&rft.volume=9&rft.spage=179&rft_id=https://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
24aed500-3af0-3835-b0b7-ff683828053a	Clusia loranthacea Planch. & Triana		36217590	ok
afec4940-ad9d-3524-9845-114cd7d6efdf	Ochna L.	33355180	358532	ok
