strategy	old_quality	new_quality	taxonID	scientificName	ipni_name
autonym	fuzzy_top_copy	exact_top_copy_autonym	539c8028-9134-3bdd-8a30-f66080f08397	Hypericum empetrifolium subsp. empetrifolium	Hypericum empetrifolium
autonym	fuzzy_top_copy	exact_top_copy_autonym	34d71771-85a2-3b44-ac6b-cd8e0f8b14a0	Tsuga chinensis var. chinensis	Tsuga chinensis
autonym	no_match	exact_top_copy_autonym	7bf1aacf-ec7c-3e6d-829d-4cab33187c34	Campanula saxatilis subsp. saxatilis Linnaeus	Campanula saxatilis
autonym	fuzzy_top_copy	exact_top_copy_autonym	1308d415-f42e-3856-a47e-ac81131a2539	Castilleja pallescens var. pallescens	Castilleja pallescens
autonym	fuzzy_top_copy	exact_top_copy_autonym	2d0e2e55-d9d3-3378-8500-9ef0036e98f4	Taxillus delavayi var. delavayi	Taxillus delavayi
autonym	fuzzy_top_copy	exact_top_copy_autonym	29ee3468-33e2-3b91-b288-252c3fa2ae28	Silene nutans subsp. nutans	Silene nutans
autonym	fuzzy_top_copy	exact_top_copy_autonym	56891303-3ad1-3ad6-9802-4a38173e51dd	Hydrolea spinosa var. spinosa	Hydrolea spinosa
autonym	fuzzy_top_copy	exact_top_copy_autonym	dfc37a85-0c2c-3868-855d-c524a9e58bd0	Litsea rubescens f. rubescens	Litsea rubescens
autonym	fuzzy_top_copy	exact_top_copy_autonym	e8f63c36-c4ea-3eab-ac56-71fc4c766ce2	Satyrium neglectum subsp. neglectum	Satyrium neglectum
autonym	fuzzy_top_copy	exact_top_copy_autonym	52829991-11f2-3c5f-afba-a0156fd6a113	Tilesia baccata var. baccata	Tilesia baccata
autonym	fuzzy_top_copy	exact_top_copy_autonym	c9cf88fa-b0ef-3884-b0f5-5e1848886b26	Andira inermis subsp. inermis	Andira inermis
autonym	fuzzy_top_copy	exact_top_copy_autonym	c7a4efe8-809c-37d7-8d4d-bef79fb57a05	Mazus pumilus var. pumilus	Mazus pumilus
autonym	fuzzy_top_copy	exact_top_copy_autonym	761a3b85-bfbf-3a3b-be20-468a4081e274	Aloysia virgata var. virgata	Aloysia virgata
autonym	fuzzy_top_copy	exact_top_copy_autonym	abc516d7-501a-3c42-87ec-1d4a5aed86e8	Croton gratissimus var. gratissimus	Croton gratissimus
autonym	fuzzy_top_copy	exact_top_copy_autonym	a3af9732-5269-3ac7-b54e-4abc5ddd6be4	Cassine peragua subsp. peragua	Cassine peragua
autonym	fuzzy_top_copy	exact_top_copy_autonym	56311edb-a903-3fca-b2ec-8d4fa07008f6	Gilia brecciarum subsp. brecciarum	Gilia brecciarum
